customer,type_c,consumption_c,location_c
Customer295,Class01,center,ESTADO DE MEXICO
Customer296,Class01,center,CIUDAD DE MEXICO
Customer297,Class01,center,ESTADO DE MEXICO
Customer298,Class01,center,CIUDAD DE MEXICO
Customer299,Class01,center,CIUDAD DE MEXICO
Customer300,Class01,center,CIUDAD DE MEXICO
Customer301,Class01,center,CIUDAD DE MEXICO
Customer302,Class01,center,CIUDAD DE MEXICO
Customer303,Class01,center,CIUDAD DE MEXICO
Customer304,Class01,center,ESTADO DE MEXICO
Customer305,Class01,center,CIUDAD DE MEXICO
Customer306,Class01,center,CIUDAD DE MEXICO
Customer307,Class01,center,ESTADO DE MEXICO
Customer308,Class01,center,HIDALGO
Customer309,Class01,center,CIUDAD DE MEXICO
Customer310,Class01,center,ESTADO DE MEXICO
Customer311,Class01,center,CIUDAD DE MEXICO
Customer312,Class01,center,CIUDAD DE MEXICO
Customer313,Class01,center,CIUDAD DE MEXICO
Customer314,Class01,center,ESTADO DE MEXICO
Customer315,Class01,center,CIUDAD DE MEXICO
Customer316,Class01,center,CIUDAD DE MEXICO
Customer317,Class01,center,CIUDAD DE MEXICO
Customer318,Class01,center,ESTADO DE MEXICO
Customer319,Class01,center,CIUDAD DE MEXICO
Customer320,Class01,center,ESTADO DE MEXICO
Customer321,Class01,center,CIUDAD DE MEXICO
Customer322,Class01,center,CIUDAD DE MEXICO
Customer323,Class01,center,CIUDAD DE MEXICO
Customer324,Class01,center,ESTADO DE MEXICO
Customer325,Class01,south,TABASCO
Customer326,Class01,center,CIUDAD DE MEXICO
Customer327,Class01,center,CIUDAD DE MEXICO
Customer328,Class01,center,CIUDAD DE MEXICO
Customer329,Class01,south,YUCATAN
Customer330,Class01,center,CIUDAD DE MEXICO
Customer331,Class01,center,CIUDAD DE MEXICO
Customer332,Class01,center,CIUDAD DE MEXICO
Customer333,Class01,center,CIUDAD DE MEXICO
Customer334,Class01,center,CIUDAD DE MEXICO
Customer335,Class01,center,CIUDAD DE MEXICO
Customer336,Class01,center,CIUDAD DE MEXICO
Customer337,Class01,center,CIUDAD DE MEXICO
Customer338,Class01,center,CIUDAD DE MEXICO
Customer339,Class01,center,CIUDAD DE MEXICO
Customer340,Class01,center,CIUDAD DE MEXICO
