Customer,Class,Kcustomer,Location
Customer333,Class01,Local,CDMX
Customer334,Class01,Local,CDMX
Customer335,Class01,Local,CDMX
Customer336,Class01,Local,CDMX
Customer337,Class01,Local,CDMX
Customer338,Class01,Local,CDMX
Customer339,Class01,Local,CDMX
Customer340,Class01,Local,CDMX
Customer341,Class04,Foraneo,CDMX
Customer342,Class01,Foraneo,CDMX
Customer343,Class01,Foraneo,VERACRUZ
Customer344,Class01,Local,CDMX
Customer345,Class01,Local,EDO MEX
Customer346,Class01,Local,CDMX
Customer347,Class01,Local,CDMX
Customer348,Class02,Local,CDMX
Customer349,Class01,Local,
Customer350,Class01,Local,
Customer351,Class01,Local,CDMX
Customer352,Class01,Local,
Customer353,Class01,Local,
Customer354,Class01,Foraneo,
Customer355,Class01,Local,
Customer356,Class01,Local,
Customer357,Class01,Local,
Customer358,Class01,Local,
Customer359,Class01,Foraneo,MICHOACAN
Customer360,Class01,Local,
Customer361,Class01,Local,
Customer362,Class01,Local,
Customer363,Class01,Local,
Customer364,Class01,Local,
Customer365,Class01,Local,
Customer366,Class01,Local,
Customer367,Class01,Local,
Customer368,Class01,Local,
Customer369,Class01,Local,
Customer370,Class01,Local,
Customer371,Class01,Local,CDMX
Customer372,Class01,Local,
Customer373,Class01,Local,
Customer374,Class01,Local,
Customer375,Class01,Local,
Customer376,Class01,Local,CDMX
Customer377,Class01,Local,
Customer378,Class01,Local,
Customer379,Class01,Local,
Customer380,Class01,Local,
Customer381,Class01,Foraneo,
Customer382,Class01,Foraneo,
Customer383,Class01,Local,
Customer384,Class01,Foraneo,
Customer385,Class01,Foraneo,
Customer386,Class01,Local,
Customer387,Class01,Foraneo,
Customer388,Class01,Local,
Customer389,Class01,Foraneo,
Customer390,Class01,Foraneo,
Customer391,Class01,Local,
Customer392,Class01,Local,
Customer393,Class01,Local,
Customer394,Class01,Local,
Customer395,Class01,Local,
Customer396,Class01,Local,
Customer397,Class02,Local,
Customer398,Class02,Foraneo,
Customer399,Class01,Foraneo,
